[0.008s] Invoking command in '/home/kjy/Mirobot_ros2/build/mirobot_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/kjy/Mirobot_ros2/install/mirobot_driver:/opt/ros/humble /usr/bin/cmake --build /home/kjy/Mirobot_ros2/build/mirobot_description -- -j16 -l16
[0.157s] Invoked command in '/home/kjy/Mirobot_ros2/build/mirobot_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/kjy/Mirobot_ros2/install/mirobot_driver:/opt/ros/humble /usr/bin/cmake --build /home/kjy/Mirobot_ros2/build/mirobot_description -- -j16 -l16
[0.166s] Invoking command in '/home/kjy/Mirobot_ros2/build/mirobot_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/kjy/Mirobot_ros2/install/mirobot_driver:/opt/ros/humble /usr/bin/cmake --install /home/kjy/Mirobot_ros2/build/mirobot_description
[0.172s] -- Install configuration: ""
[0.174s] -- Up-to-date symlink: /home/kjy/Mirobot_ros2/install/mirobot_description/share/mirobot_description//urdf/mirobot_urdf_2/Link6.usd
[0.174s] -- Up-to-date symlink: /home/kjy/Mirobot_ros2/install/mirobot_description/share/mirobot_description//urdf/mirobot_urdf_2/mirobot_urdf_2.usd
[0.174s] -- Up-to-date symlink: /home/kjy/Mirobot_ros2/install/mirobot_description/share/mirobot_description//urdf/mirobot_urdf_2/mirobot_urdf_2_ee.usd
[0.174s] -- Up-to-date symlink: /home/kjy/Mirobot_ros2/install/mirobot_description/share/mirobot_description//urdf/mirobot_urdf_2_original.urdf
[0.174s] -- Up-to-date symlink: /home/kjy/Mirobot_ros2/install/mirobot_description/share/mirobot_description//urdf/rmpflow/denso_rmpflow_common.yaml
[0.174s] -- Up-to-date symlink: /home/kjy/Mirobot_ros2/install/mirobot_description/share/mirobot_description//urdf/rmpflow/mirrobot_rmpflow_common.yaml
[0.174s] -- Up-to-date symlink: /home/kjy/Mirobot_ros2/install/mirobot_description/share/mirobot_description//urdf/rmpflow/robot_descriptor.yaml
[0.174s] -- Up-to-date symlink: /home/kjy/Mirobot_ros2/install/mirobot_description/share/ament_index/resource_index/package_run_dependencies/mirobot_description
[0.174s] -- Up-to-date symlink: /home/kjy/Mirobot_ros2/install/mirobot_description/share/ament_index/resource_index/parent_prefix_path/mirobot_description
[0.174s] -- Up-to-date symlink: /home/kjy/Mirobot_ros2/install/mirobot_description/share/mirobot_description/environment/ament_prefix_path.sh
[0.174s] -- Up-to-date symlink: /home/kjy/Mirobot_ros2/install/mirobot_description/share/mirobot_description/environment/ament_prefix_path.dsv
[0.174s] -- Up-to-date symlink: /home/kjy/Mirobot_ros2/install/mirobot_description/share/mirobot_description/environment/path.sh
[0.175s] -- Up-to-date symlink: /home/kjy/Mirobot_ros2/install/mirobot_description/share/mirobot_description/environment/path.dsv
[0.175s] -- Up-to-date symlink: /home/kjy/Mirobot_ros2/install/mirobot_description/share/mirobot_description/local_setup.bash
[0.175s] -- Up-to-date symlink: /home/kjy/Mirobot_ros2/install/mirobot_description/share/mirobot_description/local_setup.sh
[0.175s] -- Up-to-date symlink: /home/kjy/Mirobot_ros2/install/mirobot_description/share/mirobot_description/local_setup.zsh
[0.175s] -- Up-to-date symlink: /home/kjy/Mirobot_ros2/install/mirobot_description/share/mirobot_description/local_setup.dsv
[0.175s] -- Symlinking: /home/kjy/Mirobot_ros2/install/mirobot_description/share/mirobot_description/package.dsv
[0.183s] -- Up-to-date symlink: /home/kjy/Mirobot_ros2/install/mirobot_description/share/ament_index/resource_index/packages/mirobot_description
[0.184s] -- Up-to-date symlink: /home/kjy/Mirobot_ros2/install/mirobot_description/share/mirobot_description/cmake/mirobot_descriptionConfig.cmake
[0.184s] -- Up-to-date symlink: /home/kjy/Mirobot_ros2/install/mirobot_description/share/mirobot_description/cmake/mirobot_descriptionConfig-version.cmake
[0.184s] -- Up-to-date symlink: /home/kjy/Mirobot_ros2/install/mirobot_description/share/mirobot_description/package.xml
[0.185s] Invoked command in '/home/kjy/Mirobot_ros2/build/mirobot_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/kjy/Mirobot_ros2/install/mirobot_driver:/opt/ros/humble /usr/bin/cmake --install /home/kjy/Mirobot_ros2/build/mirobot_description
